Ordens ;Protocolo;Resposta ;Custas ;Motivo de atrazo
#151487/4;;Negativa ;;
#151487/6;;Negativa ;;
#151487/8;;Negativa ;;
#151487/10;;1 Positiva ;;
#151501/2;;Negativa ;;
#151501/4;;Negativa ;;
#151501/6;;Negativa ;;
#151501/8;;Negativa ;;
#151501/10;;1 Positiva ;;
#151501/12;;Negativa ;;
#151501/14;;Negativa ;;
#151501/16;;Negativa ;;
#151501/18;;1 Positiva ;;
#151501/20;;Negativa ;;
#151548/2;;1 Positiva ;;
#151578/2;;Negativa ;;
#151580/2;;Negativa ;;
#151580/4;;4 Positiva ;;
#151580/6;;1 Positiva ;;
#151580/8;;4 Positiva ;;
#151580/10;;3 Positiva ;;
#151645/2;;Negativa ;;
#151645/4;;Negativa ;;
#151645/6;;Negativa ;;
#151645/7;;Negativa ;;
#151649/2;;Negativa ;;
#151713/3;;Negativa ;;
#151804/2;;1 Positiva ;;
#151850/2;;1 Positiva ;;
#151850/4;;Negativa ;;
#151850/6;;Negativa ;;
#151850/8;;Negativa ;;
#151850/10;;Negativa ;;
#151850/12;;Negativa ;;
#151850/14;;Negativa ;;
#151850/16;;Negativa ;;
#151850/18;;Negativa ;;
#151850/20;;Negativa ;;
#151850/22;;Negativa ;;
#151850/24;;Negativa ;;
#151852/1;;Negativa ;;
#151852/2;;1 Positiva ;;
#151852/3;;Negativa ;;
#151852/4;;1 Positiva ;;
#151852/5;;Negativa ;;
#151852/6;;2 Positiva ;;
#151852/7;;1 Positiva ;;
#151852/8;;1 Positiva ;;
#151852/9;;3 Positiva ;;
#151852/10;;Negativa ;;
#151852/11;;2 Positiva ;;
#151852/12;;5 Positiva ;;
#151852/13;;Negativa ;;
#151852/14;;Negativa ;;
#151852/15;;1 Positiva ;;
#151852/16;;1 Positiva ;;
#151852/17;;Negativa ;;
#151852/18;;1 Positiva ;;
#151852/19;;Negativa ;;
#151852/20;;4 Positiva ;;
#151852/21;;4 Positiva ;;
#151852/22;;5 Positiva ;;
#151852/23;;Negativa ;;
#151852/24;;2 Positiva ;;
#151852/25;;1 Positiva ;;
#151852/26;;5 Positiva ;;
#151852/27;;1 Positiva ;;
#151852/28;;3 Positiva ;;
#151852/29;;Negativa ;;
#151852/30;;2 Positiva ;;
#151852/31;;1 Positiva ;;
#151852/32;;1 Positiva ;;
#151852/33;;Negativa ;;
#151852/34;;1 Positiva ;;
#151852/35;;Negativa ;;
#151852/36;;Negativa ;;
#151852/37;;1 Positiva ;;
#151852/38;;Negativa ;;
#151852/39;;3 Positiva ;;
#151852/40;;Negativa ;;
#151852/41;;1 Positiva ;;
#151852/42;;Negativa ;;
#151852/43;;Negativa ;;
#151852/44;;Negativa ;;
#151852/45;;3 Positiva ;;
#151852/46;;Negativa ;;
#151852/47;;1 Positiva ;;
#151852/48;;Negativa ;;
#151852/49;;6 Positiva ;;
#151852/50;;2 Positiva ;;
#151852/51;;1 Positiva ;;
